pkid,fkdevicepool
c9359510-c87b-950f-5a09-505f4d54ef75,d3cdb8bb-173b-4ccf-9afd-fa45bb773a42
698392f7-f38c-a540-282d-813ecd373603,50b77891-a6ce-4b46-b14f-82e45600ba6e
00eed97d-fc09-c407-e0c9-08838419e0e1,6bfd78d1-9f15-4e3c-ba09-49cd06f4590e
eee26d46-f946-7419-55f8-879173112b6b,b0b1ec95-2223-4611-8b88-4cabdf7d3e0d
50770bb0-d4e1-e7d2-1ea8-e3e59ae06eda,cb2d3d97-1cb4-4a2a-8618-949cab368cfa
39e0e3a5-90f1-8961-9634-a1160cbcf003,13f1866a-963a-445c-82a3-adbbd45f9775
672201fb-2887-67e3-4796-7cd898d03fdf,5aacb103-7c05-46b2-b112-3c49c97a4603
961c6df6-cf1b-dad8-1c79-f884231ed73b,f6d102d9-e083-4fd3-99c1-9af4cbda09d0
d16a039f-64b3-cb1d-0ef6-36177c3ed99b,5dee538d-cf44-49ad-be98-00d266863090
9e8e955e-7258-6a56-91a9-c0e21c2d375a,2efe51c4-2f3b-454f-839e-db3948cc645a
5401a257-726f-90cc-bbfd-2f9587389cad,385c1775-9f83-43aa-8fef-5987581a6b74
0c424946-9975-e620-6656-fb1c2eb891f1,67229729-1eac-4c74-aab8-f63ed4a69227
9bf70520-1ada-e1c8-52c3-7aa2bea628d7,c3514c15-6456-48ff-8319-ecb253ecb9dd
fc956aef-571b-b568-2e9b-352878dea4a7,5ffcbdc7-f344-428d-879d-acba69d09609
2fd8d9d4-0fa3-bdb6-c734-100e4bc37800,44a2d92a-81d6-405d-8585-b68f3594b6a5
b8bf8b47-30bf-38ad-4723-384b32579b95,2bca6cf3-0eb5-4388-a9a0-319ed7c2d9b4
005d317e-87ce-2392-9cdc-61a367ad4b52,325f22d0-66fa-4ee3-8dd7-60c9e63a4915
405fb0e6-4713-504d-a31e-eb540e841680,f1850cd9-6585-40ce-8b61-0a1e23878b98
4b1c3074-7749-2885-f544-0381781d826e,3e88e6c2-9eab-49c6-a320-2772bbd77b81
89723f58-9563-0a44-31be-2fab1343fb82,459dada9-5d0b-4282-bc0c-e444b45c8c1f
f0a49d87-53a1-37fe-1408-7ad28f44f2f2,65bab91b-4cea-41ae-8411-a65446ed1ef5
f5ce0a95-9876-8cd7-4f02-eb007e853829,6748246e-2352-4c19-9bf2-98a61df9d9b3
67039c46-0453-00c2-9660-06deb5a166e0,f9fc8a91-0f52-45f1-9d66-9a3d4a3c1350
8dc87666-7102-df76-9a19-d3c19bca9d2b,e1a3c39a-0559-45e1-ae01-a61b07e6d52f
1acc39db-4464-60b2-5635-73250af99d2c,ce532889-b9d6-49ee-b533-a8e791d15d9f
cbf287ae-ecf8-b157-6f1e-3104b43e918a,12e1adf7-260c-4899-90a9-7a0f1e76140e
34c8d966-522e-b0eb-3e0c-8ca965a18b46,b463290b-8854-43d7-8a33-cd11db286e05
f75a6d43-6119-26a8-23d2-96c0f6236f6d,996c4cea-fcb7-4e2a-b33c-63cd317a5f47
08d4804b-8aef-8191-b3e0-7efa6ec84ccc,9d06f1b4-7de3-4f9b-acb5-2a9cb3b2023a
29684406-8841-72ab-c3ec-f06e77a1eef9,55307c25-2a69-46fb-b5bf-882a0ea17aa2
b7dec64b-d282-8ef2-cbab-43dbbd6b5960,ee07908d-cf18-40ee-9de0-172df6406b78
3b8affc0-bbb3-db3c-df82-241a84f6c943,4f97aa14-0404-4788-b3d1-b8fb69c62b03
87b405ad-073d-ee7c-b072-258a731c4921,535c12dc-732a-4c06-9707-82af6d9ba569
b21ff68e-e867-0f29-b317-b713770acdf2,d5db24c0-1686-41a3-b35a-d1d2473b7324
3ca86110-3d54-a40f-24c6-42b0b0292c1b,fc143c3a-34b7-4fc4-98bc-f5ae06d757c2
12ea1fde-13bc-6c65-a20f-0d353f579bff,a736d737-751f-4839-a5b6-f6d7b75daad7
99aafa8c-452b-a242-3921-a786faab8d5c,dea209be-cf7a-4b4d-b022-451ce1ad79ea
0bf2f746-94cf-ae1d-7af6-36bfac168c59,8caa7983-025b-4525-84e4-e1392fb61daf
c11c53fa-7448-919d-1879-21f8c66a8a8f,b37405f1-7e3a-4c47-86a1-5a55f6cd51aa
15948971-b1a3-2b9b-4d9d-3fb2d0173917,dba30c7a-1e49-470d-bdfb-9fa050fdb7ae
39e991ac-5e9e-367e-b2c3-0f9355635da0,b239262f-447e-4a28-8998-05bbea17bb6e
eec335f5-c5ec-d149-f009-cb077ae2a5b2,05a2f668-fc1d-4cb7-b030-f9b2d0f2cf68
082af0dd-6d3a-8753-0deb-2b5efc41c132,a1843f87-7819-4dc3-8680-cf908bc5603b
20ddb628-c108-2a94-006e-28456fe350da,1060b8ea-5100-4d3f-b577-c9fbf6868de4
4c725318-b0d9-f9c2-c05e-8e418f92e097,d4466fc7-eb76-497f-8395-31f8edd70565
a5bc2983-606d-6e15-b556-5c3ff29a6e28,e79bfe17-0226-414c-bc16-0484578d438c
df484401-0fa9-1fde-ad07-e361265e1b57,1453822b-bd89-4682-af2b-32af6532abf5
4a17e312-cb7f-d3e9-9b0e-df4c1b8b20d3,0fda5796-5afe-4f0b-af5d-058c44f59afb
1071e384-82a2-af02-1d41-736a50e6f543,8ba7c68c-edf8-499f-840e-7fceb3789caf
bd939a35-65c4-22a5-9fd1-5fb593de58f7,7b71ac6d-3634-4cce-b0fb-f7e93a96576d
0b3d583a-5b12-bec5-db7a-4b4780a75127,314a674e-36c2-4ded-aa0c-2ec3004be218
