pkid,name
730f5537-e987-a6b7-dd3a-17118ad31d90,DI-SME-URI-RL
93b088d7-de29-33ef-1ea7-5591ad747cbd,VZB-RL
65257996-16d1-3e1d-dac9-dc4caba88ba5,DI-Unity-Connection-RL
48625db7-9854-cd17-3b85-ca1241bc5182,ATT-US-RL
c9f16946-8f35-47ac-b250-90da6261e154,FXF-NPX-rl
3a6e5616-df9a-596d-e9d5-38654dc6532c,FXF-HRO-WSTREAMLOCAL-rl
3a9ab642-612c-035e-6a0f-f929a22f296d,FXF-CTH-rl
3bc8edf2-34a0-6caa-7ef8-43636f3afe46,FXF-KNX-rl
3e03d94f-a2a4-fa69-fea9-199d53d2ec30,FXF-MNT-rl
3ee6e501-6915-6c1b-d778-87b1371843d4,FXF-BUF-rl
3efb5e9a-90dd-7172-be26-33c20c1930fd,FXF-CNG-rl
3eff1730-5da0-681f-cb7b-734ea5bdf044,FXF-GJN-rl
40d76225-55f7-1ab7-f83c-fe140883010e,FXF-WTO-rl
422e0aa1-a53c-6d6b-db9b-519a87f3e54e,FXF-ALT-rl
4261955f-0c0d-f4ab-e2ac-b5cf56f564d7,FXF-CPG-rl
45588775-e9e5-6e42-1b8b-b2647823b46e,FXF-SLM-rl
4589b980-1555-f45e-d42e-6c8549f9714d,FXFCMQ-E911-EGW_rl
45903701-d6f6-4b4c-b0d0-eb7f92d36e65,FXF-LOW-rl
45e65813-a9ad-d5af-eecc-15c09be449d5,FXF-HUR-rl
462ad6e2-d6d9-a29b-e7b9-3e3ffac95e7f,FXF-DOT-rl
4874cf20-7210-9a85-99ce-37ac05b8b126,FXF-LFK-rl
48871c6c-e34a-39f4-0d86-dbc9485f971e,FXF-OCF-rl
4994bc38-ca58-e807-a5b2-ab00ad078f0d,FXF-MPV-rl
4aa6a574-c18f-4ba4-2696-d811296a628e,FXF-KTL-rl
4abd078f-86e8-c50c-a018-8dfeeacaff0d,FXF-CIN-rl
4c2160da-5ffe-0ab6-df46-a3d8ea892eb0,FXF-BOS-rl
4f982f4e-0b89-a386-500f-5fd8f96115c3,FXF-JXN-rl
50375fbd-8cf0-c7df-b953-c3c72675d32f,FXF-EPH-rl
51f45bf1-d2d3-c34f-dee1-39cee201cafc,FXF-IMT-rl
531a631d-b6e0-1bc3-0882-fb4e47f1367a,FXF-RSG-rl
536e7a68-753a-46da-3b2d-4600abaa06a7,FXF-PLD-rl
53cfcbc7-44aa-d8e4-61d5-78bafbf24c36,FXF-BND-rl
53d27a96-e940-0225-99e9-fb756ec6a930,FXF-SLN-rl
5442bfbc-68e8-c23e-710e-53b481e3fd2a,FXF-MAU-911-rl
54b5f382-354d-633c-f9b8-c8fff1eba905,FXF-VCT-rl
55380859-547f-e14f-798c-751b1490cfb1,FXF-KMZ-rl
b3a59b33-d62e-40dc-b69d-d7d8d8eabe78,FXF-ONG-rl
56c54acf-eb20-3168-1e14-e9aa923d7878,FXF-WPB-rl
57f27515-3317-61c5-f527-9fce636e35d7,FXF-TER-rl
583c2936-1d0f-44ae-f520-a5acd5e4f119,FXF-NHS-rl
59e6f25f-b526-d141-f992-c3e87e3a9d53,FXF-SLV-rl
5b740308-a7c8-074a-21a1-69f7047c9b30,FXF-MOB-rl
5d734948-4082-31c8-10d1-7a97574b06c1,FXF-LUG-rl
5d8e16f3-4944-a819-1384-7270706d68fa,FXF-STC-rl
5dbebce3-d787-4251-8a7a-3a56dd85904d,FXF-NAT-rl
5e30c0f4-4966-ada5-5ed1-43807c22a7e1,FXF-HRL-rl
5eaa9183-b829-9317-5658-edf7ee574aa1,FXF-RNJ-rl
5efc3c54-f1d2-31fd-ab8e-f9c1f760225b,FXF-OTW-rl
5fb90675-3fd6-dc50-c9f3-eecad5f32b1e,FXF-RAP-rl
5fd84ffd-4c8f-4dcb-b262-e3336c09b195,FXF-SJU-LocalGW-rl
601bea4c-da40-1884-d6b1-adb0a7ef6bed,FXF-MSL-rl
6042758f-160a-f991-ff69-87b77f8eb571,FXF-HTS-rl
6130af4c-4627-1406-a272-dab3a17c8285,FXF-NOL-rl
61dbd5b0-57dc-0412-5bcb-eceb36b1cd80,FXF-TUC-rl
660777da-7f15-fdb4-e097-ee0006fa324c,FXF-JAX-rl
673cebdd-9363-2d98-b513-45365cb4cb48,FXF-CSR-rl
1981f7fc-19e6-4951-b09c-330b1ea7e0c6,FXF-BMT-rl
685f6145-7655-a549-418b-fdc94394d108,FXF-SAL-rl
687d8347-2621-ebc6-3148-1058930a3365,FXF-VNL-rl
6a8f6c51-90aa-2933-d835-5206650d0fb6,FXF-EVT-rl
6b001503-afb3-cfd2-cf7b-58a0643f9cf7,FXF-TWF-rl
6be9cb00-afc3-c4c4-0365-0eda3f47667b,FXF-LFT-rl
6c444cbc-3a0b-a6e7-c216-ebcb9374d3f4,FXF-BLS-rl
6c454882-44a9-ba95-7d4f-99bd01fe0663,FXF-GWS-rl
7ad7f49f-33a5-8b0d-b343-6b9c2ecf76f0,FXF-FRO-rl
7b30c3f2-0d15-25f1-23c4-ce3abf9a8a81,FXF-RED-rl
7bc58970-6915-1ab7-cb02-35ed43572d14,FXF-LVS-rl
7cd2b7e0-ee21-ae29-a180-890e84f00fec,FXF-CDA-rl
7d7b7f12-a4ee-acb0-5986-71cde78b8889,FXF-HMS-rl
7e01b022-4c35-924a-56c2-e1789f8c4514,FXF-AUR-rl
7e392a56-778e-7106-966e-4b2251e83a2f,FXFtoCORPU
7f078b19-4e7b-28c0-8da5-5c4c3f972d7b,FXF-BIS-rl
80f4a0ea-97d1-33d5-06ff-aacba24d075c,FXF-STR-rl
810c42a3-b027-80c5-4a9c-6ebb6c98d464,FXF-WSP-rl
