pkid,fklocation
49ef9f24-493f-8066-fd7c-11bc9b07d87f,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
83121570-da1b-cb20-faaa-cbd8efa9ea55,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
0d6c0610-6333-e35e-4baf-e5b61dd131e5,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
8fff7fa8-8c6a-a76f-492e-a4c2a483a4f8,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
d65a8565-0d2e-16db-9076-ee60950341f3,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
3b86acda-bbe5-8f01-4f6d-0c3edb22c88c,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
5e28b73d-8e3f-3b9d-3c1e-ba9566805918,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
89926092-9b1b-1fbd-d66e-10fc91637f65,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
21befa58-ecaa-ea0b-798a-308bc2acfcda,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
e767dc68-5b6d-bc59-62f0-0bb6bf51a133,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
5195d1e2-2e12-1ffd-a29a-e918e62b572d,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
e5955910-e375-7162-3b46-e5d8834200d1,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
f5a62b3e-7efb-b0d1-f2f5-da6240e68d12,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
41980921-700f-b28c-3e44-8ad0e389cd0a,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
f650da24-e931-2a41-4a64-4bc30f2f9d4a,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
eac2de98-7cd1-a27e-cede-f34f33d1fb51,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
fa88d791-169b-5a81-cd9b-c4f88f60f859,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
ea81bb93-b933-35a8-8323-f782f294a580,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
bb2e10b1-00b9-d060-ea71-2110f3f1c260,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
c2653650-a7ed-8043-caa8-c6896d274b61,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
b1ddc021-a30c-fbc4-e02c-ad9ad70636be,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
67dcf202-94e8-ff96-aa77-129c098fa078,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
ec9e8c90-99d7-fc40-26ba-01365619d6c0,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
9b0b2daa-835c-3984-9ad8-ccc1ada43a1b,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
fd5c522e-f03f-c37c-e980-be0a399733ce,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
42c01100-5e0e-fa14-35ba-564d88d6879c,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
72e38a25-b48b-1d84-9469-1c6a4f2c9162,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
f71d7bdc-eec4-8e80-f9e5-d4a33f89ecaa,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
624b7313-1d0d-1169-9562-fe27a8d56e6c,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
d5977444-0949-9b8e-7d04-39c6b4fd1a87,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
c1044d66-606f-e5bc-7a09-79a7a6ed7c97,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
9cc9b180-0739-f607-1431-7b873d6dc0e6,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
a8ea6252-452a-0263-b752-85effb403fa1,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
b17aa078-30c1-8154-6488-856bbfee3297,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
4c7c6979-6ab0-56f7-87e6-b4cf4db8b361,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
1fdf9b17-991e-6ff7-e247-dfb939c6a41a,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
d583fb40-b1d1-b1c9-ae27-ca3a10e9af2a,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
