pkid,fkdevicepool,fkregion
651d1ee7-2755-4f08-8c59-841082f33c02,125aff72-3e64-4e28-88fa-d2be7310d1fa,e3f6d27a-d238-1fb4-ec70-fe6724c0d8f2
667b80c9-a7cf-40e0-bdab-5a466b945143,1283d478-cb0b-4545-8c65-6e9ac9c628ae,5c4859cf-c306-f6a0-b7cb-c10603aef48f
70659e22-5380-41c0-86bc-0dc8aa4be81b,1074e9e9-366c-b87b-61cf-c34c0fb2e55d,30b4761e-6ed9-cd7c-8316-e5acf7396068
30c333e1-e528-45be-bf00-0ffbb4158a4e,116d161e-4950-48d0-8bdb-f371ca15bdf8,2974ecbd-6a6e-7618-e6fa-ea4903adf698
71a52edf-7b11-46b8-b6d2-708781badf39,0f772e66-d8c4-46e1-a902-78a7e6bc932a,296e8e96-355f-abd7-5e0d-a0782a31f2c4
a2460ab5-d33d-4278-9cfe-f29b09f3d1af,0df1a149-3775-fc19-3bd3-331b3aa74e67,f59037b5-bfe0-1e62-38aa-f3f280dcbca0
c643f082-7b05-42ff-9a93-6b1211cba027,0e391336-92cb-5f07-e5b4-d93a68e9f098,4547ebf3-be47-3f91-c0f3-e94427aee045
e55e2836-bc28-4e5b-b425-16ab49cd1a31,13e1a4ba-2545-4d98-a928-94c6287da61e,01cb41bf-d6e4-534f-e71c-14e20418d179
89a1d5c3-8ffe-4377-a26c-ea9bbc60d705,1449ccb3-3e94-4402-a39a-960bc5fcd7da,eac8fc03-d226-2618-76c9-dbf9465e1c27
78c57733-be16-4dcf-9d61-34be6fde9a8f,11437f44-11d8-4441-ba7e-b7197144f8eb,a2a81194-7718-051f-baa4-9dc4291ce04d
f32ebed1-0b56-4d0c-a130-9337851acdf0,0f189dbb-2346-4c16-a61b-f3171ba85a95,a2a81194-7718-051f-baa4-9dc4291ce04d
bab5129d-ca2d-41ad-9e33-d2fc5b8c5bc5,119ffd86-300f-48a1-8312-8e915c2ab375,a2a81194-7718-051f-baa4-9dc4291ce04d
3f57797d-3c28-4be1-9d7f-1bb98cc7733b,12213aad-a5d9-4849-afd3-d75f8c6d7ce1,e79f38ba-3d69-6155-45b9-1deede20bf4e
8b57ef3e-d1ff-4086-af84-fdabcb99c9be,1254ac39-306b-4c1d-a47a-63b179363ef6,3a63a854-2186-3e9d-4be1-f42748bbc9d9
7d32311a-609c-4c56-bb9e-ae89d44606d4,138fdb59-e628-6a5b-9a2f-ccd6736d6346,0aad7e6b-fe81-423b-d084-93c7e35c96f7
db89ad77-3613-40e3-91a1-037442361b1e,14d11fe1-d0f4-df0a-14b4-9eabaf4c082f,94bde96e-0fc6-a952-3a7e-2c2722a67317
9e1fb8d1-c4e1-441c-a8c2-1dc1715ab42d,1658e42e-cfd9-9fee-d25c-ecc18c05734f,694684b9-739f-4603-3516-2576a3960776
3989e4d8-806f-462a-95db-304111594a9b,161d9726-55ff-e4fb-8e0c-01ac62dc0656,4beb96a8-6b46-b677-07e1-a1d449cbc791
c2332881-6736-4e31-9770-fbba72b2654a,15555032-f100-44dc-835e-397dbae2531a,5d27385b-ccb1-b444-623d-886ef6ff7ed3
e4a48e90-2473-4f45-9f65-23f285fa8591,15798d64-72eb-5c93-e5d1-9f709c73a1db,00141068-de11-b2c1-aba7-81b4e1ed8732
1982e99f-a90d-464e-a14b-d01caf1bbee0,1497b11f-93aa-7b90-b5e6-24d704436fb4,0d2e6031-ab72-f2fd-253a-a992faa49cd3
