pkid,name,description,dialplanwizardgenid,clause,resettoggle,tkreset,tkpartitionusage
303015a4-508c-9094-108d-5a499797e715,FXE-FIELD-A-OFKA-APP_css,OFKA CSS to be Placed on the Lines at the Site,,BLOCKED-GENERAL_par:FXE-FIELD-A-OFKA-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
11f716c2-3efd-07b8-28fc-6575665d1d09,XFORM-SMXA-MGCP-DNIS_css,Applied to site gateway configuration in CUCM,,,f,2,99
ae49c368-a7b5-d603-673d-e5ddc150944f,XFORM-CLTR2-MGCP-DNIS_css,Applied to site gateway configuration in CUCM,,XFORM-CLTR2-MGCP-DNIS_par,f,2,99
78d3fd60-a5c9-412e-b7e5-315929285b8a,XFORM-ROCA-ANI-OUT-css,,,XFORM-ROCA-ANI-OUT-par,f,2,99
69b60f6f-9365-34f5-0339-e258c5e8b468,XFORM-ANI-ICT-SME-css,,,XFORM-ANI-ICT-SME-par,f,2,99
c25310b4-3faf-74a9-b6ce-b87cefb7a9b8,EWRGS-911_css,911 for EWRGS,,NA-911_par,f,2,99
9002f63d-11e3-053f-2aab-a79d14382872,XFORM-LWSA-MGCP-ANI_css,Applied to site gateway configuration in CUCM,,XFORM-LWSA-MGCP-ANI_par,f,2,99
ab74f45d-7db9-841b-f89a-8793c71682a5,EWRGS-UR_css,"""EWRGSinternal, local, LD and international calls""",,EWRGS_Internal_par:NA-Local_par:NA-LD_par:NA-International_par,f,2,99
3576f04b-cde0-50a6-ae26-eb871863d946,XFORM-BPAA-MGCP-DNIS_css,Applied to site gateway configuration in CUCM,,XFORM-BPAA-MGCP-DNIS_par,f,2,99
f94e6edd-ecb6-a68f-85f8-e8380fabc1f0,CVGR_CngPTP-xform-GW-IN_css,CVGR Transform Incoming GW CLID,,CVGR_CngPTP-Xform-GW-IN_par,f,2,99
a9b8a939-7f65-b332-fdab-f6cfdd403f99,PBIR_911_css,911 for PBIR,,PBIR_911_par,f,2,99
a6fe73c7-8d85-7217-2ff6-ffd6025f86fb,XFORM-ROAR-MGCP-DNIS_css,ROAR Applied to site gateway configuration in CUCM,,XFORM-ROAR-MGCP-DNIS_par,f,2,99
6b0b7c79-aea3-072f-d007-91b457fd1514,XFORM-BILR-MGCP-DNIS_css,Applied to site gateway configuration in CUCM,,XFORM-BILR-MGCP-DNIS_par,f,2,99
