pkid,name,description,dialplanwizardgenid,fktimeschedule,tktimezone,useoriginatingdevicetimezone,resettoggle,tkreset,tkpartitionusage
0ce07ebc-288b-435a-8fce-fe35703e581d,DFWVK_Local_par,DFWVK_Local_par,,,22,t,f,2,99
b15e2b12-0281-4d5c-b78d-05bb5395bb50,FXE-FIELD-A-SHVR-APP_par,FXE-FIELD-A-SHVR-APP_par,,,22,t,f,2,99
8f4d3f1d-07c6-4452-947f-a0347b5e342e,XFORM-MIEA-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
7897e089-e840-4768-84f7-03d33847f58a,FXE-FIELD-A-ONP-APP_par,Site specific partition,,,22,t,f,2,99
e823938e-8569-4cdd-a9f8-bebe7f003178,FXE-FIELD-A-MDTRT-APP_par,Site specific partition,,,22,t,f,2,99
ee1358e2-69e7-4588-98fa-85180e855761,FXE-FIELD-A-FTYC-APP-par,FTYC Site Specific Dialing,,,22,t,f,2,99
730ca117-3476-49ac-8f0d-513e7974687f,FXE-FIELD-A-LUFA-APP-par,LUFA Site Specific Dial Partition,,,22,t,f,2,99
a6a09025-78ae-4792-a8b0-22b00e53cba2,XFORM-ELPR-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
369919d0-9057-4c23-ba1a-696ee878c384,JDTA_CngPTP-Xform-IN_par,JDTA CngPTP IN Transformation Partition,,,22,t,f,2,99
97fe26cd-4759-4dc5-9072-b6dec627e70b,XFORM-AELA-MGCP-ANI_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
95ae935d-aa9f-4466-ba07-2e2ae22631f2,FXE-FIELD-A-ACKA-APP_par,Site specific partition,,,22,t,f,2,99
0ef02498-b170-4844-bbb0-fd348717817e,XFORM-MPRA-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
66173777-60e5-4d94-8ced-98ee8e89fb72,FXE-FIELD-A-LOCAL-par,OFF-NET Local PSTN calls via the SME,,,22,t,f,2,99
2e7f85d7-24cc-42b9-8814-742ab768e629,LBEA_PSTN_par,LBEA Devices,,,22,t,f,2,99
f95bda39-a44e-4024-9a34-8e0fb6bf47c1,XFORM-DTWS-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
02f7b11b-4591-4349-b749-89aae118012c,XFORM-PKBA-MGCP-ANI_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
217b1066-1088-4973-9b1c-28cbe2657be3,XFORM-BOFA-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
76ff8dc1-a271-4c6a-b4a9-38d4f1a9bbe2,FXE-FIELD-A-CLTR1-APP_par,CLTR1 Site Specific Dial Partition,,,22,t,f,2,99
2775e8ac-fe7b-4438-b761-254d499f1794,911_par,911 to SLRG for MGCP Gateway Sites,,,22,t,f,2,99
8cffb881-8c06-4e00-912a-91a19054098f,XFORM-JDYA-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
55cd3b25-bd73-4ad2-a795-a440a693ce6c,XFORM-AIKA-MGCP-ANI_par,XFORM-AIKA-MGCP-ANI_par,,,22,t,f,2,99
aa65c2cf-4208-4954-bb66-dac09c6f0428,FXE-FIELD-A-JFKR-APP_par,JFKR Site specific partition,,,22,t,f,2,99
ff59e8d3-f2b0-4930-bb59-35fa43b756ee,FXE-FIELD-A-OutOfService_par,Out of service partition for unused patterns,,,22,t,f,2,99
719cccd7-eee7-4f31-943b-bde9c36b6f23,FXE-FIELD-A-CLTR2-APP_par,FXE-FIELD-A-CLTR2-APP_par,,,22,t,f,2,99
6c661ada-58d5-42ac-8bcc-e0bd6f0be631,XFORM-TYSRT-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
ac81a213-d28f-4297-9c1a-78e3d7d4c773,FXE-FIELD-A-UOXA-APP_par,UOXA Site Specific Dial Partition,,,22,t,f,2,99
dd66e7a3-cb10-4083-9f75-ac4825ecd3e1,FXE-FIELD-A-MWHA2-APP_par,FXE-FIELD-A-MWHA2_-APP_par,,,22,t,f,2,99
1d396a88-7c63-4135-8d55-3e7d42954119,FXE-FIELD-A-ONPA-APP_par,ONPA Site Specific Dial Partition,,,22,t,f,2,99
617599df-0c1b-4409-b7e0-b1dae58372d0,FXE-FIELD-A-MKGA-APP_par,Site specific partition,,,22,t,f,2,99
12447976-71bd-4ee1-8cb5-d3b1cb6c19eb,EWRVK_CngPTP-Xform-IN_par,EWRVK CngPTP IN Transformation Partition,,,22,t,f,2,99
797efc3c-8f1a-44ef-b69d-fd137b6b2e6a,FXE-SWFR_CngPTP-Xform-GW-IN_par,FXE-SWFR Gateway IN Transformation Partition,,,22,t,f,2,99
68cc4dbb-5c51-4cec-8026-f76de935019d,XFORM-KOAA-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
33a29063-a207-4718-b494-f710bd22c4da,FXE-FIELD-A-IFPA-APP-par,FXE-FIELD-A-IFPA-APP-par,,,22,t,f,2,99
d47eebf2-3b70-4cba-a8ce-4c41043ce7ee,FXE-FIELD-A-BLMA-APP-par,BLMA Site Specific Dial Partition,,,22,t,f,2,99
d1f665bc-d3ee-455a-814e-4a7d833b8faa,XFORM-APFA-MGCP-DNIS_par,APFA Contains per-site Called Party Transformation,,,22,t,f,2,99
9da53a0d-688a-4ed4-85c3-2141c296bf0b,FXE-FIELD-A-ILMA-APP_par,ILMA Site Specific Dial Partition,,,22,t,f,2,99
0fd46d39-b533-4073-8ad7-cf1d327e46b9,FXE-FIELD-A-MKTA-APP_par,MKTA Site Specific Dial Partition,,,22,t,f,2,99
eb6e4d7e-7696-4801-a973-093b0b34ebb2,XFORM-FMNA-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
a37d7212-5ad4-45b9-979f-28a28a5b4080,XFORM-FMYA-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
02f40cea-ff18-4cb6-8c9e-9b2d59a643ef,FXE-FIELD-A-CVGA-APP_par,CVGA Site Specific Dial Partition,,,22,t,f,2,99
4e10e12e-7ad9-40a1-b1ce-c210155f851a,FXE-FIELD-A-LD-MGCP_par,OFF-NET Long Distance PSTN calls via MGCP Gateway,,,22,t,f,2,99
0c0d6dfc-5811-4e06-b6e0-7c0c8f126579,XFORM-DETA-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
fb74267f-a338-4253-95d8-94f4d2fa3ec6,FXE-FIELD-A-BISA-APP_par,Site specific partition,,,22,t,f,2,99
78836e23-ceb2-421a-b891-1e4a94260d0a,XFORM-DNNA-MGCP-ANI_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
