sipdevice_pkid,pkid,name,description,runonallnodes
0986060e-4458-9b15-c5c6-72931ecb04e3,d9b31424-c3f9-bd0a-ac7d-52a65969840f,FXF-SDWAN-VLD-tk,FedEx Freight Valdosta (VLD/288) SIP TK to GW,f
450e8eec-d07e-3f15-214c-0548195735b8,6c79519e-d59d-3d77-8fc7-fbc923127d33,FXF-SDWAN-DCU-tk,FedEx Freight Decatur (DCU/965) SIP TK to GW,f
df7d372c-523a-c91b-4ace-dfa6fbae9382,e3ace4f9-78d9-c09d-5883-86e864380e6f,FXF-SDWAN-STC-tk,FedEx Freight Saint Cloud (STC/482) SIP TK to GW,f
1c05c2e0-2f17-0224-6bef-f556629629c1,fbb76b4d-49a0-f764-9de1-cd68f214c9ec,FXF-SDWAN-JXN-tk,FedEx Freight Jackson (JXN/118) SIP TK to GW,f
76377d83-44e5-a00c-ee08-bef3fb55f6b0,f8b6beb4-a260-61e6-0ec9-2dde412044f9,FXF-SDWAN-FED-tk,FedEx Freight Federalsburg (FED/557) SIP TK to GW,f
9e5a4b47-8cce-d4cb-f727-6da53a676702,f79e6894-0450-b580-687b-807b4ba79207,FXF-SDWAN-SLV-tk,FedEx Freight S Las Vegas (SLV/299) 10.17.234.1 SIP,f
6356bae2-6d54-7203-61d7-f14d5a820eb7,fae8cfbe-b8b7-7f2b-52ad-10552d7bea6d,FXF-SDWAN-TUL-tk,FedEx Freight Tulsa (TUL/600) 10.18.11.1 SIP,f
3100a3e8-7c06-60a4-ab44-cd42dffff30c,e4e424cc-9358-e181-1a6f-686871744bfd,FXF-SDWAN-NAT-tk,FedEx Freight N Allentown (NAT/374) SIP TK to GW,f
2f00eabc-209f-86d7-24fd-9c66a63586f2,fcee63c3-ca58-8bec-573f-29cd3b6f35c5,FXF-SDWAN-PHN-tk,FedEx Freight Port Huron (PHN/124) SIP TK to GW,f
956dad2f-50bd-4973-0b0d-d824b66965e0,eea51c9b-879c-f694-3a4d-adfea5b8396f,FXF-SDWAN-CLR-tk,FedEx Freight Clearwater (CLR/598) SIP TK to GW,f
ac0bf59d-d3ca-753d-f3fa-d555cb6ca82c,eb70d0fa-53a1-c53a-3a73-3e6c1eecf50b,FXF-SDWAN-WNY-tk,FedEx Freight Watertown (WNY/572) 10.18.73.1 SIP,f
6da392a5-c7de-7d3c-1812-372ba6fc44a5,ef220217-6cfd-f7b4-8095-e916e48d84a4,FXF-SDWAN-GAR-tk,FedEx Freight Gardena (GAR/516) SIP TK to GW,f
73a52ead-bd7b-4a8c-d7ad-09396dc15426,f284918e-765c-c331-2f86-e52e07a6bd39,FXF-SDWAN-LBB-tk,FedEx Freight Lubbock (LBB/305) 10.17.21.1 SIP,f
7a075919-bbe4-b85a-581e-cc77d2b19c65,ec0b3529-c46a-e394-92b4-593db77c7a30,FXF-SDWAN-FAR-tk,FedEx Freight Fargo (FAR/487) 10.16.157.1 SIP,f
60099b2d-e20f-33a4-f1b0-f006fd0e49d1,ffc5273c-b17e-cc67-bf73-19c50789c560,FXF-SDWAN-COU-tk,FedEx Freight Columbia (COU/510) SIP Tk to GW,f
82cd22c3-baad-c844-5d2d-95341ccaa4d6,2bed3f7f-e206-97a2-2489-40f69ed77769,FXF-SDWAN-MOT-tk,FedEx Freight Minot (MOT/512) 10.17.71.2 SIP,f
d67c4cbb-9219-38ed-ad9a-ec4646d999a2,46723e79-c7ab-845e-7bf0-b87dfdc8587a,FXF-SDWAN-ZON-tk,FedEx Freight Zion (ZON/421) SIP TK to GW,f
44cf9ea7-8688-2e50-738b-7dc794076b8e,395ed8a9-a574-7870-8789-79ce3009dc4f,FXF-SDWAN-LVS-tk,FedEx Freight Las Vegas (LVS/167) 10.17.42.1 SIP,f
c60dda56-e76c-e3ac-b8f9-6a506f899801,418689d5-5c2d-601a-0d20-15d4a251d913,FXF-SDWAN-EVT-tk,FedEx Freight Everett (EVT/163) 10.16.149.1 SIP,f
e6977a27-fc07-eb3b-56ab-0a20cbd991c8,2b46a8ab-5498-e7e9-f0b1-19547d671aa3,FXF-SDWAN-ONG-tk,FedEx Freight Orange County (ONG/452) SIP TK to GW,f
a6af033f-d8f5-7832-322e-f55e593e1bff,3c68c498-d4c2-4072-c3b4-ed4baa04ea3a,FXF-SDWAN-WNP-tk,FXF Winnipeg (WNP/646),f
192b153f-f273-61ec-b36d-b8ee9fa3972a,35120868-6fb2-7b3f-59c5-c13bc8c8b59c,FXF-SDWAN-BNH-tk,FedEx Freight Belmont (BNH/579) SIP TK to GW,f
21498990-995d-9863-51cd-1e327980d0b9,2f06bd65-66f1-2988-a61a-48b84f6503d8,FXF-SDWAN-CLX-tk,FedEx Freight Calexico (CLX/535) SIP TK to GW,f
6f2cf478-bd2b-8cd7-b37e-bca180c430e7,2ff86a02-9a26-48ac-7ff6-fda60a0abb73,FXF-SDWAN-AKR-tk,FedEx Freight Akron (AKR/995) SIP TK to GW,f
b4bbe6f7-528a-43af-8a1a-ecce0d660c78,2bf6b5e3-88bc-0381-73b9-d205e0fea4f5,FXF-SDWAN-MSN-tk,FedEx Freight Madison (MSN/492) 10.17.76.1 SIP,f
6fa73c51-63f3-2fca-c593-b5ee9d8ca3af,2cbd4139-5c88-f3cd-1262-d772f5a4a177,FXF-SDWAN-DLH-tk,FedEx Freight Duluth/Superior (DLH/483) 10.16.104.2 SIP,f
86208922-6b31-c14b-d18f-e2107f9c572e,59a1b104-efe6-8242-3bc3-a2c723a40d5b,FXF-SDWAN-ANB-tk,FedEx Freight Anniston (ANB/955) 10.16.11.2 SIP,f
bb75b3dd-8274-fdb1-5dd5-eb1d5e73428c,0ec73897-0e6b-55a2-9f90-8e25f2aa6edf,FXF-SDWAN-NOL-tk,FedEx Freight New Orleans (NOL/800) SIP TK to GW,f
8d9598cc-8855-e0d2-c0c6-681644313546,5a645386-a7d9-6555-c7c8-1f81490103e5,FXF-SDWAN-HWO-tk,FedEx Freight Hollywood (HWO/815) 10.16.229.2 SIP,f
d30d8a7e-ee41-2653-9a57-56d97433d819,5a81f2e6-6a9e-26b1-20b3-f1e8a70d0b6e,FXF-SDWAN-JOP-tk,FedEx Freight Joplin (JOP/590) SIP Tk to GW,f
7e669727-be36-30b2-f688-872de7ba7c38,1dca820e-357d-70c6-c948-30e4277fac6d,FXF-SDWAN-HMS-tk,FedEx Freight Hermiston (HMS/392) SIP TK to GW,f
a6f290ca-15ff-e545-6543-95ede6f5a215,1dc56333-aff4-bcbd-1d01-c1b3f9eb86d3,FXF-SDWAN-GRI-tk,FedEx Freight Grand Island (GRI/486) SIP Tk to GW,f
5e6b6f42-f1f8-ada0-dc68-4fb6b98ab0c1,641eea01-788c-3cd9-4c96-19d980d4dbb8,FXF-SDWAN-CJE-tk,FedEx Freight Cookville (CJE/205) 10.16.69.1 SIP,f
1239f309-e68f-d6a2-2cf6-b7e799b61d72,1d4686b3-8b33-6507-778b-1ae6a2e7dbf8,FXF-SDWAN-BOS-tk,FedEx Freight Boston (BOS/582) SIP TK to GW,f
e64f8f1e-c85d-8592-cc72-d95cad6a6f31,2757b34f-013b-1889-fb53-3d606a774628,FXF-SDWAN-MFD-tk,FedEx Freight Mansfield (MFD/984) SIP TK to GW,f
a0dce2cf-07a9-df1c-7426-9d8b6b92d9bd,13befb37-2cdc-0073-6b2c-9358a6af6558,FXF-SDWAN-OCF-tk,FedEx Freight Ocala (OCF/828) 10.17.105.1 SIP,f
d128c6f3-2e72-fa44-92d5-5e7bbe1913c5,14af57d2-7457-b3e8-433f-cfc3a0238b6b,FXF-SDWAN-SAV-tk,FedEx Freight Bloomingdale (SAV/290) SIP TK to GW,f
988cdfa4-62ec-5989-f01e-884d2da20801,13f6cd0d-c90e-64c3-00e9-d85eed1bcf24,FXF-SDWAN-SHV-tk,FedEx Freight Shreveport (SHV/810) 10.17.241.1 SIP,f
dac7b094-9e91-e7c8-640e-bd9678062188,132fca2f-4631-a21b-54c5-c629f70a46eb,FXF-SDWAN-GVN-tk,FedEx Freight Greenville (GVN/258) SIP TK to GW,f
39bda2ba-2997-3686-212e-89eac8033968,13b1acf2-5c9e-5f69-7297-c7fc5a5161c9,FXF-SDWAN-ODS-tk,FedEx Freight Odessa (ODS/355) SIP TK to GW,f
