pkid,fkdevicepool
e767dc68-5b6d-bc59-62f0-0bb6bf51a133,ec197211-d1cd-4389-8e27-d4d466db101a
5195d1e2-2e12-1ffd-a29a-e918e62b572d,60a27070-a18e-4962-8a3f-a63fade46b88
e5955910-e375-7162-3b46-e5d8834200d1,d5ef9e52-c987-8e9f-6dba-3a5448846e9a
f5a62b3e-7efb-b0d1-f2f5-da6240e68d12,d5ef9e52-c987-8e9f-6dba-3a5448846e9a
41980921-700f-b28c-3e44-8ad0e389cd0a,3c64d81c-62de-440d-aaf6-bee3d0388177
f650da24-e931-2a41-4a64-4bc30f2f9d4a,bb9bc21d-d858-4b0f-9f7e-544621ffd7eb
eac2de98-7cd1-a27e-cede-f34f33d1fb51,95640521-5741-472a-861e-b7d8e4ed89a3
fa88d791-169b-5a81-cd9b-c4f88f60f859,703d6729-2433-2986-07e7-da4f77bc6f36
ea81bb93-b933-35a8-8323-f782f294a580,a765e777-e44b-4b22-9974-8232d45821bd
bb2e10b1-00b9-d060-ea71-2110f3f1c260,a765e777-e44b-4b22-9974-8232d45821bd
c2653650-a7ed-8043-caa8-c6896d274b61,ada69734-abe9-4f58-acaf-7ba03b162f84
b1ddc021-a30c-fbc4-e02c-ad9ad70636be,3785e8f6-8619-48e3-a2ce-0f50038ba00c
67dcf202-94e8-ff96-aa77-129c098fa078,3ea267a4-28ab-45cf-a3af-c86d98701542
ec9e8c90-99d7-fc40-26ba-01365619d6c0,07606ca2-2f1f-43cb-8ec9-14f776fc765f
9b0b2daa-835c-3984-9ad8-ccc1ada43a1b,6bbd85c0-85ab-0550-f5af-e9d8cfc47d2b
fd5c522e-f03f-c37c-e980-be0a399733ce,6bbd85c0-85ab-0550-f5af-e9d8cfc47d2b
42c01100-5e0e-fa14-35ba-564d88d6879c,e92a5195-8476-6c7c-1baf-2a278fa637a7
72e38a25-b48b-1d84-9469-1c6a4f2c9162,b6641d74-a9e4-495d-b3b2-aeb2eaa1f355
f71d7bdc-eec4-8e80-f9e5-d4a33f89ecaa,b6641d74-a9e4-495d-b3b2-aeb2eaa1f355
624b7313-1d0d-1169-9562-fe27a8d56e6c,5724b67f-57f8-45ab-bab9-1dd3a88eccb5
d5977444-0949-9b8e-7d04-39c6b4fd1a87,d73539eb-1669-55bf-43d2-8d593e939ffb
c1044d66-606f-e5bc-7a09-79a7a6ed7c97,546db9ae-e77b-ce8a-af11-ed420325b9e9
9cc9b180-0739-f607-1431-7b873d6dc0e6,546db9ae-e77b-ce8a-af11-ed420325b9e9
a8ea6252-452a-0263-b752-85effb403fa1,424864ed-c344-baef-5b0e-0c85ccb7b7c4
b17aa078-30c1-8154-6488-856bbfee3297,a7de498f-5083-7a4b-58c6-8fda0f3f359b
4c7c6979-6ab0-56f7-87e6-b4cf4db8b361,f83cc871-35f5-47b2-87c6-3d9e6098af9f
1fdf9b17-991e-6ff7-e247-dfb939c6a41a,3785e8f6-8619-48e3-a2ce-0f50038ba00c
d583fb40-b1d1-b1c9-ae27-ca3a10e9af2a,36eb1b55-11e0-46a7-9bab-f85a6cd491a1
29ee5f52-b2ab-3b86-293b-7f961aa32aa2,546db9ae-e77b-ce8a-af11-ed420325b9e9
9f1f2c10-e5f8-03ac-4787-4a7129fbde9e,0f83c02c-8705-9b4a-d897-f9dcf3bbd036
136de697-ff2f-2465-4a75-da9f7ee561b9,1758ab9f-05ef-9dfa-1fd7-4194f7530a2e
0e151461-1638-ee5b-cd72-75d92bbb15ab,338df7f3-9cdd-471e-b204-abb6f5428318
7e12c609-8cc3-e895-bab4-ac649f6a71e3,5b6ab2f0-85f9-41e2-92f0-7d9ea9567baa
ca586c04-5aa3-7bc5-1e53-f06e4a669f81,f071ebf8-d5af-9496-1d00-64df8fd70fe0
425f9793-4b4f-c3b3-1a36-01a2ee042825,d7d2d5a4-bb0c-4c44-ab00-de87f6b36330
0763c1fe-9140-2121-862e-66bc19ad201f,1758ab9f-05ef-9dfa-1fd7-4194f7530a2e
6ccd71ba-e404-4d7e-41a7-a89d3ebd3e9f,f071ebf8-d5af-9496-1d00-64df8fd70fe0
5069807f-ab2a-e89d-9d49-99867f807853,71f5d76c-9317-4d0e-baed-35ff7f8eb561
aaafef2d-0702-71dd-7a92-d28ca49ea079,18a238b7-db2e-e9d6-831e-5c4ce2f732d9
850ff9bc-5f39-c202-a753-7e7d6bf58ba0,15798d64-72eb-5c93-e5d1-9f709c73a1db
3c1303e5-5ca6-5fd0-9689-c9d3635c388b,6bc9d7a6-e45e-da3d-9892-f1e06d10d90e
3b337bdf-b077-c744-d7a5-436c736a4953,ce3aa400-221a-b49a-a96a-2bdafd200adf
07644af4-2eed-3aa4-f068-cafebadf3341,3062c528-7dc0-45e8-975a-05d7845bae72
88eb54ae-d80f-60aa-3b78-6fe029f48131,1074e9e9-366c-b87b-61cf-c34c0fb2e55d
00818073-3239-ef0f-8fe4-f66240d2f9ab,09d80f21-f5c5-4932-83ab-3c3aaa7e649f
db0cba0b-8181-ef45-19c1-3370e059a541,13180bff-2a27-4093-fbfd-0c7bfc24139d
3595d26c-2360-5527-e1ef-c415d4aead80,dcd11c22-9ac1-b37a-05ab-9c0b36e7c856
07332953-c9c7-4521-ccda-eb14531ce790,4033130b-de42-b9ad-f73c-9a19332efe19
ab2607c8-0993-386a-3f74-79432ddbbd55,09d80f21-f5c5-4932-83ab-3c3aaa7e649f
74c07d70-8c92-1e6f-3419-ab8a288e9161,13180bff-2a27-4093-fbfd-0c7bfc24139d
11501b01-16ad-4976-9bbe-3393aa11a1d1,d78671e8-a272-d039-904a-685339a8068a
9384f171-18ac-cdce-180a-1956b71a5611,4033130b-de42-b9ad-f73c-9a19332efe19
2be4a7a2-e02c-3448-f561-e77768874bb0,4033130b-de42-b9ad-f73c-9a19332efe19
9a338908-7101-ad0a-ea3b-3e3913bbc0b0,adbacf3f-a986-6489-4270-02236f2fc39d
27a707d9-a282-6233-c4eb-ba7448aac7ed,d1222e5c-5ab9-35af-b788-b0c10ba0cea7
354eb643-3b15-30e5-dc3a-cbcbbc807bc0,065c95b8-bedb-49ef-bf7b-814e1737e2c2
61a57ecb-4f35-2698-d8b1-a0a6ef3a7b13,0df1a149-3775-fc19-3bd3-331b3aa74e67
814b107a-9bfb-cada-15a9-4019d8a19617,5bf40713-b78c-fb0c-1092-8c8a2460097c
03d15580-e595-d93a-5974-a94ccc09c5af,31b12864-530e-4e8b-aa5f-0f8060cc4544
a433d61a-b36b-e42c-3133-7cb0108a7d77,f42af35f-0ebe-049d-a956-7cdc11515d44
daf65cd4-d648-ef97-bbc7-9797b1809e46,dec2a372-af78-456f-b010-611bcac196cb
ac83155b-2d73-df33-57ee-9f32b1b99e1b,b2fcf7af-fd19-2887-4a4d-e138438a2a92
598164bf-46da-7723-7f70-2852f6e8595a,9d60d516-100e-18ae-42d1-42c17772d68d
b9f3b680-2ecf-ca91-bc58-75e055a63409,155b431b-57f1-fbd0-6d04-48c7daec9844
83f3ae23-2f53-fcc9-b4f0-02129576f767,7fce2368-4290-403a-9dd2-d3520a200fbe
f2c15c33-460f-3647-2b07-f131968d3c6f,db289cb9-aa56-5dfe-55ae-be175b70dcde
019a1193-0237-988f-fc23-c8b9927fdc1a,9d60d516-100e-18ae-42d1-42c17772d68d
56d2e426-09b1-73d9-079c-e388d0e02a35,7edf6368-49e0-3d59-905e-cf6acad00685
d6e19559-cb1b-708c-f661-285aadc70fa5,f68da35b-6b18-2e79-a751-5c8e16f36fd9
3be26147-a98d-cd4c-3a83-75a496d1c017,a78239cf-3c39-166f-77cd-71b7293393c3
b9a7c082-0fd0-9932-a53b-e49fdd81f962,8d0decd1-1944-4cdf-88ae-f0b6a1505f13
5a523bff-7204-446f-f26e-1273469df234,ac6d8125-cdc6-4ef4-8d8f-8074003a9045
4fd748de-f0ca-0d7d-79a0-edf1002c772a,f68da35b-6b18-2e79-a751-5c8e16f36fd9
314fa6af-f587-88af-9b79-c64bd2d1c355,ade37416-242e-41d5-9e00-c0f1d29b4ffc
602ed465-2796-fcd2-5a8c-1f8ebe032a22,a555a7f6-d5b7-42bd-a827-409f56e10c1f
f23324f7-bc74-3475-7221-7d810e185b60,023ec499-24d4-49c0-9132-c89aeea5dc62
e4e54fb5-53a6-29a6-bf8e-22e1bff0d26b,023ec499-24d4-49c0-9132-c89aeea5dc62
7809534e-1871-cd56-c58b-aee8f50ba40f,d5c5ef06-0692-421d-a4bb-18e68db241e8
13747e38-0131-19a3-145d-3ba6877d8463,f0f4bda6-365d-49d7-a946-a5b2c23ee0c4
